ISO3,Roman,Country_Code,Map_Color_Code,STS_Code,UN_Link,M49_Description,M49_Code,x,y
CHE,Switzerland,EUR,CHE,1,43,Switzerland,756,8.223158,46.96617097
CHL,Chile,AME,CHL,1,44,Chile,152,-71.23029019,-35.2652885
CHN,China,ASI,CHN,1,45,China,156,104.1403375,32.30955217
CIV,Côte d'Ivoire,AFR,CIV,1,46,Côte d'Ivoire,384,-5.552690016,7.62211586
CMR,Cameroon,AFR,CMR,1,47,Cameroon,120,12.7419827,5.692387031
COD,Democratic Republic of the Congo,AFR,COD,1,48,"Congo, (Kinshasa)",180,23.65496507,-2.877154732
COG,Congo,AFR,COG,1,49,Congo (Brazzaville),178,15.22052612,-0.840544119
COK,Cook Islands,OCE,NZL,2,50,Cook Islands,184,-159.7711391,-21.22696458
COL,Colombia,AME,COL,1,51,Colombia,170,-73.07446751,3.888209046
COM,Comoros,AFR,COM,1,52,Comoros,174,43.34234565,-11.66121732
CPV,Cabo Verde,AFR,CPV,1,53,Cape Verde,132,-23.63544151,15.07791834
CRI,Costa Rica,AME,CRI,1,54,Costa Rica,188,-84.19712782,9.970998683
CUB,Cuba,AME,CUB,1,55,Cuba,192,-79.54460144,22.10030366
CUW,Curaçao,EUR,NLD,2,56,Curaçao,531,-68.95033464,12.15058042
CXR,Christmas Island,OCE,AUS,2,57,Christmas Island,162,105.6426067,-10.4882473
CYM,Cayman Islands,AME,GBR,5,58,Cayman Islands,136,-81.16740559,19.32266656
CYP,Cyprus,EUR,CYP,1,59,Cyprus,196,33.22285964,35.05659437
CZE,Czechia,EUR,CZE,1,60,Czech Republic,203,15.33151382,49.73913871
DEU,Germany,EUR,DEU,1,61,Germany,276,10.3806066,51.08862743
DJI,Djibouti,AFR,DJI,1,62,Djibouti,262,42.18274707,11.56004161
DMA,Dominica,AME,DMA,1,63,Dominica,212,-61.3493756,15.43391378
DNK,Denmark,EUR,DNK,1,64,Denmark,208,9.326571283,56.03829721
DOM,Dominican Republic,AME,DOM,1,65,Dominican Republic,214,-70.49847576,18.89832088
DZA,Algeria,AFR,DZA,1,66,Algeria,12,2.678164227,28.15940032
ECU,Ecuador,AME,ECU,1,67,Ecuador,218,-78.37005241,-1.447785891
EGY,Egypt,AFR,EGY,1,68,Egypt,818,29.77468534,26.57438204
ERI,Eritrea,AFR,ERI,1,69,Eritrea,232,38.11074289,16.12894644
ESH,Western Sahara,AFR,ESH,5,70,Western Sahara,732,-13.13515523,24.66265342
ESP,Spain,EUR,ESP,1,71,Spain,724,-3.554078296,40.39211472
EST,Estonia,EUR,EST,1,72,Estonia,233,25.84093481,58.68487172
ETH,Ethiopia,AFR,ETH,1,73,Ethiopia,231,39.63505296,8.631223181
FIN,Finland,EUR,FIN,1,74,Finland,246,23.308447,61.91586738
FJI,Fiji,OCE,FJI,1,75,Fiji,242,177.9660884,-17.83301566
